"objectid","object_location","exists_exact","status","suggested_file"
"1990-04-12_launionramazzotti","https://www.semana.com/cultura/articulo/la-hora-de-ramazzotti/22382-3/","False","EmptyObjectLocation",""
"1994-04-25_caifaneseldorado","","False","EmptyObjectLocation",""
"1994-07-26_pacificoekhymosis","https://www.semana.com/cultura/articulo/musica/23296-3/","False","EmptyObjectLocation",""
"1994-08-02_caifanesevolucion","https://www.semana.com/en-constante-evolucion/23372-3/","False","EmptyObjectLocation",""
"1994-08-05_distritoespecial","https://www.eltiempo.com/archivo/documento/MAM-189534","False","MatchByObjectId","1994-08-05_distritoespecial.jpg"
"1994-09-11_1280almas","","False","EmptyObjectLocation",""
"1994-09-23_catedral","","False","EmptyObjectLocation",""
"1994-09-23_prevencionrock","https://www.eltiempo.com/archivo/documento/MAM-226356","False","MatchByObjectId","1994-09-23_prevencionrock.jpg"
"1994-09-27_tandaconciertos","https://www.semana.com/tanda-de-conciertos/23873-3/","False","EmptyObjectLocation",""
"1994-11-11_duncandhuraices","https://www.eltiempo.com/archivo/documento/MAM-248228","False","MatchByObjectId","1994-11-11_duncandhuraices.jpg"
"1994-11-12_divisiones","https://www.eltiempo.com/archivo/documento/MAM-248540","False","MatchByObjectId","1994-11-12_divisiones.jpg"
"1994-11-18_discofindeaño","https://www.eltiempo.com/archivo/documento/MAM-250817","False","MatchByObjectId","1994-11-18_discofindeaño.jpg"
"1994-11-25_ex3resurreccion","https://www.eltiempo.com/archivo/documento/MAM-254304","False","MatchByObjectId","1994-11-25_ex3resurreccion.jpg"
"1994-12-02_encantadores","https://www.eltiempo.com/archivo/documento/MAM-257473","False","MatchByObjectId","1994-12-02_encantadores.jpg"
"1994-12-09_lorockeronoquitalolatino","https://www.eltiempo.com/archivo/documento/MAM-261569","False","MatchByObjectId","1994-12-09_lorockeronoquitalolatino.jpg"
"1994-12-23_juanitadientes","","False","EmptyObjectLocation",""
"1995-04-28_estadoslinea","","False","EmptyObjectLocation",""
"1995-05-05_amorcorrespondido","","False","EmptyObjectLocation",""
"1995-05-5_caifanesraices","","False","EmptyObjectLocation",""
"1995-05-09_aterciopeladoscaifanes","https://www.semana.com/cultura/articulo/gira-de-caifanes-aterciopelados/25678-3","False","MatchByObjectId","1995-05-09_aterciopeladoscaifanes.jpg"
"1995-05-12_rockalternativa","https://www.eltiempo.com/archivo/documento/MAM-225059","False","MatchByObjectId","1995-05-12_rockalternativa.jpg"
"1995-05-12_espectaculokaliman","","False","EmptyObjectLocation",""
"1995-05-13_sinnervios","","False","EmptyObjectLocation",""
"1995-05-01_rockalparque95","","False","EmptyObjectLocation",""
"1995-05-14_popcriollovideos","https://www.eltiempo.com/archivo/documento/MAM-325893","False","MatchByObjectId","1995-05-14_popcriollovideos.jpg"
"1995-05-19_horariorockotazo","","False","EmptyObjectLocation",""
"1995-05-19_rockotazo","","False","EmptyObjectLocation",""
"1985-05-25_woodstockcriollo","","False","EmptyObjectLocation",""
"1995-05-26_estadosalterados","","False","EmptyObjectLocation",""
"1995-05-27_rockdelcolumpio","","False","EmptyObjectLocation",""
"1995-05-27_unsololenguaje","","False","EmptyObjectLocation",""
"1995-05-25_rockvivebogota","","False","EmptyObjectLocation",""
"1995-05-27_fobiaseguridadsocial","https://www.eltiempo.com/archivo/documento/MAM-333257","False","MatchByObjectId","1995-05-27_fobiaseguridadsocial.jpg"
"1995-05-27_bogotavivesuwoodstock","","False","EmptyObjectLocation",""
"1995-05-30_rockparquealturabogota","","False","EmptyObjectLocation",""
"1995-13-06_sosfenomeno","https://www.semana.com/cultura/articulo/fito-paez-sos-un-fenomeno/25986/","False","EmptyObjectLocation",""
"1995-06-27_estadoscolor","https://www.eltiempo.com/archivo/documento/MAM-365407","False","NotFound",""
"1995-07-04_puertarock","","False","EmptyObjectLocation",""
"1995-07-21_ekhymosis","https://www.eltiempo.com/archivo/documento/MAM-369828","False","MatchByObjectId","1995-07-21_ekhymosis.jpg"
"1995-10-27_aterciopelados","https://www.eltiempo.com/archivo/documento/MAM-436394","False","MatchByObjectId","1995-10-27_aterciopelados.jpg"
"1995-11-02_himnorock","https://www.eltiempo.com/archivo/documento/MAM-444841","False","MatchByObjectId","1995-11-02_himnorock.jpg"
"1995-11-03_bonjovi","https://www.eltiempo.com/archivo/documento/MAM-445140","False","MatchByObjectId","1995-11-03_bonjovi.jpg"
"1995-12-07_girasintornillo","https://www.eltiempo.com/archivo/documento/MAM-475486","False","MatchByObjectId","1995-12-07_girasintornillo.jpg"
"1995-12-14_novenarock","https://www.eltiempo.com/archivo/documento/MAM-482724","False","MatchByObjectId","1995-12-14_novenarock.jpg"
"1996-05-13_caifanesyterciopelo","","False","EmptyObjectLocation",""
"1996-05-17_rockonformes",,"False","EmptyObjectLocation",""
