"objectid","object_location","exists_exact","absolute_path"
"1995-05-12_rockalternativa","https://www.eltiempo.com/archivo/documento/MAM-225059","False",".\objects\MAM-225059"
"1995-05-12_espectaculokaliman","","False",
"1995-05-13_sinnervios","","False",
"1995-05-01_rockalparque95","","False",
"1995-05-14_popcriollovideos","https://www.eltiempo.com/archivo/documento/MAM-325893","False",".\objects\MAM-325893"
"1995-05-19_horariorockotazo","","False",
"1995-05-19_rockotazo","","False",
"1985-05-25_woodstockcriollo","","False",
"1995-05-26_estadosalterados","","False",
"1995-05-27_rockdelcolumpio","","False",
"1995-05-27_unsololenguaje","","False",
"1995-05-25_rockvivebogota","","False",
"1995-05-27_fobiaseguridadsocial","https://www.eltiempo.com/archivo/documento/MAM-333257","False",".\objects\MAM-333257"
"1995-05-27_bogotavivesuwoodstock","","False",
"1995-05-30_rockparquealturabogota","","False",
"1995-13-06_sosfenomeno","https://www.semana.com/cultura/articulo/fito-paez-sos-un-fenomeno/25986/","True",".\objects\"
"1995-06-27_estadoscolor","https://www.eltiempo.com/archivo/documento/MAM-365407","False",".\objects\MAM-365407"
"1995-07-04_puertarock","","False",
"1995-07-21_ekhymosis","https://www.eltiempo.com/archivo/documento/MAM-369828","False",".\objects\MAM-369828"
"1995-10-27_aterciopelados","https://www.eltiempo.com/archivo/documento/MAM-436394","False",".\objects\MAM-436394"
"1995-11-02_himnorock","https://www.eltiempo.com/archivo/documento/MAM-444841","False",".\objects\MAM-444841"
"1995-11-03_bonjovi","https://www.eltiempo.com/archivo/documento/MAM-445140","False",".\objects\MAM-445140"
"1995-12-07_girasintornillo","https://www.eltiempo.com/archivo/documento/MAM-475486","False",".\objects\MAM-475486"
"1995-12-14_novenarock","https://www.eltiempo.com/archivo/documento/MAM-482724","False",".\objects\MAM-482724"
"1996-05-13_caifanesyterciopelo","","False",
"1996-05-17_rockonformes",,"False",
